Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Poland,Ekstraklasa,2024/2025,19/07/2024,17:00,Jagiellonia,Puszcza,2,0,H,1.51,4.73,5.91,1.51,4.75,6.5,1.47,4.52,5.86,1.53,4.9,6.6,,,
Poland,Ekstraklasa,2024/2025,19/07/2024,19:30,Slask Wroclaw,Lechia Gdansk,1,1,D,1.99,3.53,3.94,2.06,3.65,4.0,1.95,3.45,3.71,2.06,3.6,4.1,,,
Poland,Ekstraklasa,2024/2025,20/07/2024,13:45,GKS Katowice,Radomiak Radom,1,2,A,2.73,3.34,2.68,2.75,3.4,2.72,2.64,3.29,2.58,2.78,3.45,2.76,,,
Poland,Ekstraklasa,2024/2025,20/07/2024,16:30,Pogon Szczecin,Korona Kielce,3,0,H,1.57,4.16,5.95,1.62,4.2,6.02,1.55,4.07,5.55,1.59,4.5,6.4,,,
Poland,Ekstraklasa,2024/2025,20/07/2024,19:15,Legia,Zaglebie,2,0,H,1.63,4.01,5.55,1.66,4.33,5.6,1.59,4.03,5.12,1.67,4.1,5.9,,,
Poland,Ekstraklasa,2024/2025,21/07/2024,13:45,Cracovia,Piast Gliwice,1,1,D,2.94,2.99,2.75,2.95,3.0,3.17,2.69,2.95,2.78,3.05,3.0,2.88,,,
Poland,Ekstraklasa,2024/2025,21/07/2024,16:30,Lech Poznan,Gornik Zabrze,2,0,H,1.65,4.29,4.87,1.88,4.59,4.87,1.69,4.05,4.36,1.74,4.2,5.3,,,
Poland,Ekstraklasa,2024/2025,21/07/2024,19:15,Motor Lublin,Rakow,0,2,A,5.06,4.09,1.66,5.68,4.4,1.66,5.11,4.04,1.58,5.9,4.1,1.67,,,
Poland,Ekstraklasa,2024/2025,22/07/2024,18:00,Stal Mielec,Widzew Lodz,1,1,D,2.79,3.45,2.56,2.79,3.5,2.57,2.66,3.38,2.5,2.88,3.55,2.64,,,
Poland,Ekstraklasa,2024/2025,26/07/2024,17:00,Puszcza,Gornik Zabrze,2,2,D,2.54,3.35,2.89,2.58,3.35,3.0,2.43,3.27,2.83,2.62,3.45,3.0,,,
Poland,Ekstraklasa,2024/2025,26/07/2024,19:30,Lechia Gdansk,Motor Lublin,0,2,A,1.83,3.84,4.29,1.88,3.91,4.35,1.79,3.75,4.07,1.85,4.0,4.6,,,
Poland,Ekstraklasa,2024/2025,27/07/2024,13:45,Stal Mielec,GKS Katowice,0,1,A,2.42,3.35,3.05,2.47,3.4,3.2,2.33,3.27,2.97,2.5,3.45,3.15,,,
Poland,Ekstraklasa,2024/2025,27/07/2024,16:30,Radomiak Radom,Jagiellonia,2,3,A,2.89,3.65,2.39,3.1,3.65,2.42,2.87,3.5,2.28,3.0,3.7,2.46,,,
Poland,Ekstraklasa,2024/2025,27/07/2024,19:15,Widzew Lodz,Lech Poznan,2,1,H,2.94,3.56,2.4,3.0,3.61,2.47,2.81,3.46,2.34,3.0,3.65,2.52,,,
Poland,Ekstraklasa,2024/2025,28/07/2024,13:45,Zaglebie,Pogon Szczecin,2,2,D,3.12,3.61,2.26,3.15,3.61,2.35,2.96,3.5,2.23,3.25,3.8,2.28,,,
Poland,Ekstraklasa,2024/2025,28/07/2024,16:30,Piast Gliwice,Slask Wroclaw,2,0,H,1.75,3.44,5.52,1.8,3.5,5.9,1.71,3.38,5.22,1.77,3.6,6.2,,,
Poland,Ekstraklasa,2024/2025,28/07/2024,19:15,Korona Kielce,Legia,0,1,A,4.07,3.37,2.01,4.2,3.4,2.05,3.91,3.27,1.96,4.3,3.4,2.08,,,
Poland,Ekstraklasa,2024/2025,29/07/2024,18:00,Rakow,Cracovia,0,1,A,1.46,4.37,7.77,1.49,4.75,7.8,1.43,4.32,7.05,1.49,4.7,8.4,,,
Poland,Ekstraklasa,2024/2025,02/08/2024,17:00,Zaglebie,Puszcza,1,0,H,2.05,3.65,3.61,2.1,3.71,3.61,2.02,3.54,3.39,2.1,3.75,3.75,,,
Poland,Ekstraklasa,2024/2025,02/08/2024,19:30,Gornik Zabrze,Pogon Szczecin,1,0,H,3.17,3.75,2.19,3.17,3.85,2.2,3.03,3.67,2.13,3.25,3.9,2.22,,,
Poland,Ekstraklasa,2024/2025,03/08/2024,13:45,GKS Katowice,Rakow,0,1,A,4.44,3.89,1.79,4.85,3.98,1.79,4.47,3.74,1.72,5.3,3.95,1.77,,,
