Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Poland,Ekstraklasa,2022/2023,15/07/2022,17:00,Rakow,Warta Poznan,1,0,H,1.45,4.34,9.0,1.45,4.5,10.0,1.41,4.16,8.35,,,,,,
Poland,Ekstraklasa,2022/2023,15/07/2022,19:30,Zaglebie,Slask Wroclaw,0,0,D,2.36,3.4,3.22,2.4,3.54,3.22,2.33,3.31,2.95,,,,,,
Poland,Ekstraklasa,2022/2023,16/07/2022,14:00,Lech Poznan,Stal Mielec,0,2,A,1.34,5.93,8.49,1.34,5.93,9.5,1.31,5.25,8.54,,,,,,
Poland,Ekstraklasa,2022/2023,16/07/2022,16:30,Jagiellonia,Piast Gliwice,2,0,H,2.76,3.18,2.86,2.85,3.28,2.95,2.65,3.07,2.72,,,,,,
Poland,Ekstraklasa,2022/2023,16/07/2022,19:00,Korona Kielce,Legia,1,1,D,5.38,4.11,1.66,5.5,4.11,1.72,4.97,3.75,1.66,,,,,,
Poland,Ekstraklasa,2022/2023,17/07/2022,11:30,Radomiak Radom,Legnica,1,1,D,2.28,3.26,3.54,2.33,3.4,3.54,2.21,3.19,3.24,,,,,,
Poland,Ekstraklasa,2022/2023,17/07/2022,14:00,Wisla Plock,Lechia Gdansk,3,0,H,2.54,3.58,2.82,2.65,3.62,2.82,2.52,3.4,2.63,,,,,,
Poland,Ekstraklasa,2022/2023,17/07/2022,16:30,Pogon Szczecin,Widzew Lodz,2,1,H,1.45,4.61,8.01,1.48,4.75,8.01,1.41,4.46,7.18,,,,,,
Poland,Ekstraklasa,2022/2023,18/07/2022,18:00,Gornik Z.,Cracovia,0,2,A,2.52,3.43,2.95,2.52,3.43,2.95,2.44,3.23,2.85,,,,,,
Poland,Ekstraklasa,2022/2023,22/07/2022,17:00,Warta Poznan,Wisla Plock,0,4,A,2.6,3.14,3.08,2.62,3.2,3.13,2.5,3.07,2.89,,,,,,
Poland,Ekstraklasa,2022/2023,22/07/2022,19:30,Jagiellonia,Widzew Lodz,0,2,A,1.91,3.7,4.25,2.03,3.7,4.35,1.91,3.47,3.89,,,,,,
