Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Poland,Ekstraklasa,2021/2022,23/07/2021,17:00,Termalica B-B.,Stal Mielec,1,1,D,2.39,3.35,3.22,2.42,3.43,3.29,2.32,3.21,3.08,,,,,,
Poland,Ekstraklasa,2021/2022,23/07/2021,19:30,Lech Poznan,Radomiak Radom,0,0,D,1.66,3.83,6.03,1.7,3.87,6.03,1.65,3.62,5.41,,,,,,
Poland,Ekstraklasa,2021/2022,24/07/2021,14:00,Leczna,Cracovia,1,1,D,3.64,3.3,2.22,3.67,3.4,2.29,3.39,3.18,2.19,,,,,,
Poland,Ekstraklasa,2021/2022,24/07/2021,16:30,Jagiellonia,Lechia Gdansk,1,1,D,2.53,3.46,2.91,2.6,3.46,2.99,2.47,3.29,2.8,,,,,,
Poland,Ekstraklasa,2021/2022,24/07/2021,19:00,Legia,Wisla Plock,1,0,H,2.27,3.44,3.36,2.34,3.44,3.4,2.23,3.26,3.22,,,,,,
Poland,Ekstraklasa,2021/2022,25/07/2021,14:00,Piast Gliwice,Rakow,2,3,A,2.99,3.21,2.62,3.04,3.27,2.91,2.74,3.12,2.63,,,,,,
Poland,Ekstraklasa,2021/2022,25/07/2021,16:30,Slask Wroclaw,Warta Poznan,2,2,D,2.32,3.28,3.43,2.36,3.31,3.64,2.25,3.16,3.26,,,,,,
Poland,Ekstraklasa,2021/2022,25/07/2021,19:00,Pogon Szczecin,Gornik Z.,2,0,H,2.04,3.37,4.15,2.06,3.45,4.25,1.98,3.28,3.9,,,,,,
Poland,Ekstraklasa,2021/2022,26/07/2021,17:00,Wisla,Zaglebie,3,0,H,1.99,3.77,3.82,2.1,3.77,3.86,1.99,3.58,3.49,,,,,,
Poland,Ekstraklasa,2021/2022,30/07/2021,17:00,Zaglebie,Leczna,3,1,H,1.65,4.08,5.56,1.83,4.08,5.61,1.67,3.75,4.99,,,,,,
Poland,Ekstraklasa,2021/2022,30/07/2021,19:30,Gornik Z.,Lech Poznan,1,3,A,3.9,3.54,2.04,3.92,3.54,2.15,3.6,3.35,2.03,,,,,,
Poland,Ekstraklasa,2021/2022,31/07/2021,14:00,Stal Mielec,Piast Gliwice,0,2,A,3.7,3.38,2.17,3.73,3.4,2.29,3.49,3.21,2.13,,,,,,
Poland,Ekstraklasa,2021/2022,31/07/2021,16:30,Termalica B-B.,Wisla,2,2,D,2.56,3.41,2.91,2.87,3.46,2.96,2.51,3.27,2.76,,,,,,
Poland,Ekstraklasa,2021/2022,31/07/2021,19:00,Radomiak Radom,Legia,3,1,H,3.14,3.29,2.47,3.17,3.4,2.51,3.02,3.17,2.37,,,,,,
Poland,Ekstraklasa,2021/2022,01/08/2021,14:00,Warta Poznan,Pogon Szczecin,1,1,D,3.82,3.12,2.24,3.93,3.14,2.35,3.57,3.0,2.21,,,,,,
Poland,Ekstraklasa,2021/2022,01/08/2021,16:30,Cracovia,Slask Wroclaw,1,2,A,2.17,3.33,3.74,2.25,3.4,3.75,2.13,3.2,3.5,,,,,,
Poland,Ekstraklasa,2021/2022,01/08/2021,19:00,Jagiellonia,Rakow,3,0,H,2.35,3.62,3.07,2.48,3.66,3.13,2.3,3.41,2.97,,,,,,
Poland,Ekstraklasa,2021/2022,02/08/2021,17:00,Lechia Gdansk,Wisla Plock,1,0,H,2.28,3.43,3.35,2.35,3.52,3.35,2.27,3.26,3.11,,,,,,
Poland,Ekstraklasa,2021/2022,06/08/2021,17:00,Leczna,Warta Poznan,0,4,A,2.79,3.22,2.79,2.85,3.25,2.84,2.72,3.05,2.68,,,,,,
Poland,Ekstraklasa,2021/2022,06/08/2021,19:30,Lech Poznan,Cracovia,2,0,H,1.61,4.03,6.14,1.68,4.03,6.15,1.6,3.78,5.51,,,,,,
Poland,Ekstraklasa,2021/2022,07/08/2021,14:00,Jagiellonia,Termalica B-B.,1,0,H,2.34,3.4,3.26,2.38,3.5,3.4,2.24,3.31,3.12,,,,,,
Poland,Ekstraklasa,2021/2022,07/08/2021,16:30,Gornik Z.,Stal Mielec,1,0,H,2.11,3.49,3.73,2.23,3.52,3.74,2.08,3.38,3.44,,,,,,
Poland,Ekstraklasa,2021/2022,08/08/2021,14:00,Pogon Szczecin,Piast Gliwice,1,0,H,2.03,3.39,4.16,2.19,3.42,4.16,2.01,3.23,3.82,,,,,,
Poland,Ekstraklasa,2021/2022,08/08/2021,16:30,Wisla,Rakow,1,2,A,2.91,3.5,2.51,2.99,3.63,2.76,2.74,3.35,2.47,,,,,,
Poland,Ekstraklasa,2021/2022,08/08/2021,19:00,Slask Wroclaw,Lechia Gdansk,1,1,D,2.48,3.49,2.96,2.55,3.54,3.02,2.41,3.35,2.82,,,,,,
Poland,Ekstraklasa,2021/2022,09/08/2021,17:00,Wisla Plock,Radomiak Radom,1,0,H,2.69,3.16,2.94,2.71,3.28,3.04,2.56,3.03,2.88,,,,,,
Poland,Ekstraklasa,2021/2022,13/08/2021,17:00,Termalica B-B.,Lech Poznan,1,3,A,5.22,3.68,1.76,5.35,3.88,1.9,4.8,3.59,1.72,,,,,,
Poland,Ekstraklasa,2021/2022,13/08/2021,19:30,Stal Mielec,Wisla,2,1,H,3.21,3.49,2.33,3.3,3.57,2.35,3.06,3.38,2.24,,,,,,
Poland,Ekstraklasa,2021/2022,14/08/2021,14:00,Piast Gliwice,Wisla Plock,4,3,H,2.15,3.32,3.8,2.27,3.38,4.2,2.08,3.17,3.67,,,,,,
Poland,Ekstraklasa,2021/2022,14/08/2021,16:30,Lechia Gdansk,Cracovia,3,0,H,2.28,3.37,3.42,2.28,3.57,3.6,2.16,3.27,3.32,,,,,,
Poland,Ekstraklasa,2021/2022,14/08/2021,19:00,Warta Poznan,Legia,0,2,A,3.56,3.3,2.25,3.6,3.45,2.35,3.28,3.2,2.21,,,,,,
Poland,Ekstraklasa,2021/2022,15/08/2021,16:30,Slask Wroclaw,Leczna,0,0,D,1.72,3.98,5.03,1.81,3.98,5.15,1.7,3.73,4.68,,,,,,
Poland,Ekstraklasa,2021/2022,15/08/2021,19:00,Zaglebie,Pogon Szczecin,2,0,H,3.3,3.22,2.41,3.31,3.4,2.43,3.13,3.11,2.34,,,,,,
Poland,Ekstraklasa,2021/2022,16/08/2021,17:00,Jagiellonia,Gornik Z.,1,3,A,2.29,3.43,3.35,2.32,3.48,3.35,2.24,3.3,3.1,,,,,,
Poland,Ekstraklasa,2021/2022,20/08/2021,17:00,Wisla Plock,Zaglebie,4,0,H,2.42,3.38,3.15,2.59,3.42,3.19,2.44,3.19,2.89,,,,,,
Poland,Ekstraklasa,2021/2022,20/08/2021,19:30,Radomiak Radom,Warta Poznan,1,0,H,2.15,3.33,3.8,2.23,3.35,3.9,2.12,3.18,3.57,,,,,,
Poland,Ekstraklasa,2021/2022,21/08/2021,14:00,Pogon Szczecin,Stal Mielec,4,1,H,1.5,4.19,7.82,1.6,4.19,7.82,1.51,3.93,6.64,,,,,,
Poland,Ekstraklasa,2021/2022,21/08/2021,16:30,Cracovia,Jagiellonia,2,1,H,2.08,3.38,3.98,2.31,3.46,4.09,2.11,3.23,3.54,,,,,,
Poland,Ekstraklasa,2021/2022,21/08/2021,19:00,Leczna,Wisla,1,3,A,3.36,3.51,2.24,3.5,3.6,2.27,3.24,3.36,2.16,,,,,,
Poland,Ekstraklasa,2021/2022,22/08/2021,14:00,Piast Gliwice,Slask Wroclaw,1,1,D,1.87,3.82,4.31,1.96,3.82,4.75,1.88,3.55,3.96,,,,,,
Poland,Ekstraklasa,2021/2022,22/08/2021,16:30,Lech Poznan,Lechia Gdansk,2,0,H,1.5,4.44,7.08,1.55,4.7,7.5,1.47,4.25,6.64,,,,,,
Poland,Ekstraklasa,2021/2022,27/08/2021,17:00,Stal Mielec,Leczna,2,0,H,2.05,3.43,4.01,2.07,3.6,4.3,1.98,3.33,3.8,,,,,,
Poland,Ekstraklasa,2021/2022,27/08/2021,19:30,Warta Poznan,Jagiellonia,1,1,D,2.62,3.2,3.0,2.7,3.22,3.1,2.55,3.07,2.86,,,,,,
Poland,Ekstraklasa,2021/2022,28/08/2021,11:30,Termalica B-B.,Cracovia,1,2,A,2.78,3.11,2.9,2.79,3.2,3.2,2.65,3.01,2.79,,,,,,
Poland,Ekstraklasa,2021/2022,28/08/2021,14:00,Lechia Gdansk,Radomiak Radom,2,2,D,2.31,3.41,3.31,2.51,3.42,3.33,2.33,3.19,3.09,,,,,,
Poland,Ekstraklasa,2021/2022,28/08/2021,16:30,Lech Poznan,Pogon Szczecin,1,1,D,1.92,3.46,4.58,1.95,3.6,4.6,1.88,3.32,4.29,,,,,,
Poland,Ekstraklasa,2021/2022,28/08/2021,19:00,Gornik Z.,Piast Gliwice,0,1,A,2.88,3.22,2.71,2.88,3.32,2.8,2.75,3.08,2.63,,,,,,
Poland,Ekstraklasa,2021/2022,29/08/2021,11:30,Wisla Plock,Rakow,1,1,D,3.36,3.24,2.37,3.38,3.26,2.65,3.17,3.12,2.32,,,,,,
Poland,Ekstraklasa,2021/2022,29/08/2021,14:00,Zaglebie,Slask Wroclaw,1,3,A,2.33,3.67,3.06,2.4,3.67,3.25,2.26,3.42,3.02,,,,,,
Poland,Ekstraklasa,2021/2022,29/08/2021,16:30,Wisla,Legia,1,0,H,3.21,3.44,2.35,3.23,3.45,2.4,3.08,3.3,2.28,,,,,,
Poland,Ekstraklasa,2021/2022,11/09/2021,11:30,Warta Poznan,Termalica B-B.,0,0,D,2.36,3.3,3.32,2.61,3.33,3.39,2.34,3.13,3.12,,,,,,
Poland,Ekstraklasa,2021/2022,11/09/2021,14:00,Cracovia,Gornik Z.,2,2,D,2.47,3.13,3.3,2.47,3.38,3.4,2.34,3.12,3.14,,,,,,
Poland,Ekstraklasa,2021/2022,11/09/2021,16:30,Jagiellonia,Stal Mielec,1,1,D,1.67,4.02,5.43,1.95,4.08,5.75,1.66,3.84,4.93,,,,,,
Poland,Ekstraklasa,2021/2022,11/09/2021,19:00,Slask Wroclaw,Legia,1,0,H,3.52,3.44,2.21,4.1,3.6,2.39,3.4,3.36,2.11,,,,,,
Poland,Ekstraklasa,2021/2022,12/09/2021,11:30,Piast Gliwice,Zaglebie,0,1,A,1.95,3.7,4.07,2.02,3.7,4.15,1.94,3.5,3.76,,,,,,
Poland,Ekstraklasa,2021/2022,12/09/2021,14:00,Wisla,Lechia Gdansk,2,2,D,2.06,3.7,3.65,2.1,3.81,3.65,2.03,3.55,3.43,,,,,,
Poland,Ekstraklasa,2021/2022,12/09/2021,16:30,Rakow,Lech Poznan,2,2,D,2.86,3.28,2.69,2.87,3.4,2.71,2.74,3.18,2.57,,,,,,
Poland,Ekstraklasa,2021/2022,13/09/2021,17:00,Leczna,Wisla Plock,3,2,H,3.54,3.49,2.18,3.63,3.49,2.28,3.28,3.29,2.18,,,,,,
Poland,Ekstraklasa,2021/2022,13/09/2021,19:30,Radomiak Radom,Pogon Szczecin,1,1,D,3.2,3.28,2.44,3.25,3.28,2.46,3.08,3.09,2.39,,,,,,
Poland,Ekstraklasa,2021/2022,17/09/2021,17:00,Zaglebie,Termalica B-B.,2,1,H,2.02,3.53,3.97,2.07,3.62,4.1,2.01,3.38,3.68,,,,,,
Poland,Ekstraklasa,2021/2022,17/09/2021,19:30,Lech Poznan,Wisla,5,0,H,1.57,4.14,6.51,1.6,4.36,7.0,1.52,4.1,6.07,,,,,,
Poland,Ekstraklasa,2021/2022,18/09/2021,11:30,Wisla Plock,Jagiellonia,3,0,H,2.3,3.38,3.37,2.5,3.44,3.42,2.25,3.25,3.18,,,,,,
Poland,Ekstraklasa,2021/2022,18/09/2021,14:00,Pogon Szczecin,Cracovia,1,1,D,1.84,3.37,5.25,1.94,3.5,5.25,1.83,3.26,4.66,,,,,,
Poland,Ekstraklasa,2021/2022,18/09/2021,16:30,Radomiak Radom,Slask Wroclaw,1,1,D,2.24,3.37,3.52,2.45,3.42,3.52,2.24,3.23,3.22,,,,,,
Poland,Ekstraklasa,2021/2022,18/09/2021,19:00,Lechia Gdansk,Piast Gliwice,1,0,H,2.23,3.48,3.43,2.59,3.49,3.43,2.22,3.29,3.21,,,,,,
Poland,Ekstraklasa,2021/2022,19/09/2021,11:30,Stal Mielec,Rakow,0,3,A,4.85,3.51,1.85,4.9,3.65,2.04,4.39,3.4,1.83,,,,,,
Poland,Ekstraklasa,2021/2022,19/09/2021,14:00,Gornik Z.,Warta Poznan,1,0,H,2.07,3.26,4.2,2.1,3.38,4.21,2.02,3.19,3.89,,,,,,
Poland,Ekstraklasa,2021/2022,19/09/2021,16:30,Legia,Leczna,3,1,H,1.31,5.52,11.35,1.36,5.76,12.0,1.3,5.13,10.01,,,,,,
Poland,Ekstraklasa,2021/2022,24/09/2021,17:00,Leczna,Lechia Gdansk,0,4,A,3.92,3.52,2.04,3.95,3.53,2.2,3.62,3.36,2.02,,,,,,
Poland,Ekstraklasa,2021/2022,24/09/2021,19:30,Jagiellonia,Lech Poznan,1,0,H,4.57,3.63,1.87,4.75,3.88,1.87,4.28,3.58,1.81,,,,,,
Poland,Ekstraklasa,2021/2022,25/09/2021,14:00,Stal Mielec,Radomiak Radom,1,0,H,3.32,3.42,2.3,3.4,3.46,2.35,3.17,3.26,2.24,,,,,,
