Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA
Poland,Ekstraklasa,2023/2024,21/07/2023,17:00,Warta Poznan,Pogon Szczecin,0,1,A,3.37,3.33,2.29,3.78,3.42,2.3,3.29,3.24,2.18,,,,,,
Poland,Ekstraklasa,2023/2024,21/07/2023,19:30,Legia,LKS Lodz,3,0,H,1.48,4.65,6.87,1.5,5.1,8.5,1.41,4.6,6.95,,,,,,
Poland,Ekstraklasa,2023/2024,22/07/2023,14:00,Stal Mielec,Cracovia,2,2,D,3.67,3.2,2.23,3.67,3.4,2.38,3.28,3.12,2.24,,,,,,
Poland,Ekstraklasa,2023/2024,22/07/2023,16:30,Rakow,Jagiellonia,3,0,H,1.33,5.39,10.17,1.4,5.5,11.0,1.31,5.03,9.63,,,,,,
Poland,Ekstraklasa,2023/2024,22/07/2023,19:00,Piast Gliwice,Lech Poznan,1,2,A,3.24,2.96,2.59,3.25,3.11,2.66,3.06,2.92,2.48,,,,,,
Poland,Ekstraklasa,2023/2024,23/07/2023,14:00,Gornik Zabrze,Radomiak Radom,0,2,A,2.97,3.24,2.58,2.99,3.42,3.4,2.57,3.2,2.75,,,,,,
Poland,Ekstraklasa,2023/2024,23/07/2023,16:30,Zaglebie,Ruch Chorzow,2,1,H,2.07,3.54,3.72,2.11,3.79,4.3,1.92,3.52,3.8,,,,,,
Poland,Ekstraklasa,2023/2024,23/07/2023,19:00,Widzew Lodz,Puszcza,3,2,H,1.82,3.79,4.51,1.93,3.79,4.51,1.84,3.51,4.09,,,,,,
Poland,Ekstraklasa,2023/2024,24/07/2023,18:00,Korona Kielce,Slask Wroclaw,1,1,D,2.23,3.47,3.37,2.49,3.52,3.38,2.26,3.32,3.07,,,,,,
Poland,Ekstraklasa,2023/2024,28/07/2023,19:30,Ruch Chorzow,LKS Lodz,2,0,H,2.3,3.21,3.49,2.44,3.4,3.5,2.24,3.14,3.27,,,,,,
Poland,Ekstraklasa,2023/2024,29/07/2023,14:00,Warta Poznan,Gornik Zabrze,2,0,H,2.24,3.13,3.75,2.3,3.27,3.75,2.18,3.07,3.45,,,,,,
Poland,Ekstraklasa,2023/2024,29/07/2023,16:30,Jagiellonia,Puszcza,4,1,H,2.11,3.61,3.52,2.11,3.75,3.73,2.03,3.48,3.42,,,,,,
Poland,Ekstraklasa,2023/2024,29/07/2023,19:00,Slask Wroclaw,Zaglebie,1,2,A,2.74,3.18,2.83,2.75,3.25,2.94,2.6,3.14,2.71,,,,,,
Poland,Ekstraklasa,2023/2024,30/07/2023,14:00,Stal Mielec,Piast Gliwice,0,0,D,5.17,3.38,1.83,5.17,3.45,2.0,4.57,3.24,1.83,,,,,,
Poland,Ekstraklasa,2023/2024,30/07/2023,16:30,Lech Poznan,Radomiak Radom,2,0,H,1.76,3.67,5.09,1.81,3.79,5.16,1.75,3.54,4.63,,,,,,
Poland,Ekstraklasa,2023/2024,30/07/2023,19:00,Pogon Szczecin,Widzew Lodz,2,1,H,1.71,4.19,4.66,1.74,4.33,5.8,1.66,3.97,4.66,,,,,,
Poland,Ekstraklasa,2023/2024,04/08/2023,17:00,Jagiellonia,Widzew Lodz,2,1,H,2.16,3.52,3.49,2.25,3.65,3.5,2.12,3.44,3.21,,,,,,
Poland,Ekstraklasa,2023/2024,04/08/2023,19:30,LKS Lodz,Korona Kielce,2,1,H,2.29,3.47,3.25,2.31,3.5,3.32,2.23,3.3,3.1,,,,,,
Poland,Ekstraklasa,2023/2024,05/08/2023,14:00,Rakow,Warta Poznan,2,2,D,1.52,4.08,7.33,1.6,4.1,8.0,1.54,3.74,6.47,,,,,,
Poland,Ekstraklasa,2023/2024,05/08/2023,16:30,Gornik Zabrze,Piast Gliwice,0,0,D,4.43,3.43,1.93,4.43,3.43,2.13,3.96,3.24,1.96,,,,,,
Poland,Ekstraklasa,2023/2024,05/08/2023,19:00,Radomiak Radom,Cracovia,0,1,A,2.09,3.31,3.94,2.13,3.38,4.0,2.05,3.2,3.66,,,,,,
Poland,Ekstraklasa,2023/2024,06/08/2023,16:30,Zaglebie,Lech Poznan,1,1,D,3.98,3.85,1.91,4.1,3.9,1.96,3.69,3.68,1.88,,,,,,
Poland,Ekstraklasa,2023/2024,06/08/2023,19:00,Legia,Ruch Chorzow,3,0,H,1.5,4.61,6.45,1.54,4.7,6.8,1.48,4.27,6.03,,,,,,
Poland,Ekstraklasa,2023/2024,07/08/2023,18:00,Puszcza,Stal Mielec,1,0,H,2.44,3.26,3.15,2.44,3.38,3.28,2.33,3.17,3.03,,,,,,
Poland,Ekstraklasa,2023/2024,11/08/2023,17:00,Cracovia,Zaglebie,2,1,H,2.19,3.52,3.42,2.31,3.54,3.42,2.21,3.37,3.09,,,,,,
Poland,Ekstraklasa,2023/2024,11/08/2023,19:30,Piast Gliwice,Rakow,2,1,H,3.13,2.98,2.65,3.16,3.08,2.69,2.97,2.9,2.55,,,,,,
Poland,Ekstraklasa,2023/2024,12/08/2023,14:00,Stal Mielec,Slask Wroclaw,3,1,H,3.17,3.18,2.49,3.28,3.34,2.49,3.0,3.14,2.37,,,,,,
Poland,Ekstraklasa,2023/2024,12/08/2023,16:30,Korona Kielce,Gornik Zabrze,0,1,A,2.19,3.47,3.4,2.25,3.53,3.41,2.17,3.3,3.23,,,,,,
Poland,Ekstraklasa,2023/2024,12/08/2023,19:00,Widzew Lodz,LKS Lodz,1,0,H,2.18,3.44,3.53,2.2,3.51,3.58,2.1,3.3,3.39,,,,,,
Poland,Ekstraklasa,2023/2024,13/08/2023,14:00,Pogon Szczecin,Radomiak Radom,0,2,A,2.01,3.69,3.76,2.05,3.74,4.45,1.96,3.49,3.61,,,,,,
Poland,Ekstraklasa,2023/2024,13/08/2023,16:30,Puszcza,Legia,1,1,D,6.37,4.34,1.54,6.6,4.4,1.57,5.86,4.05,1.53,,,,,,
Poland,Ekstraklasa,2023/2024,14/08/2023,18:00,Warta Poznan,Ruch Chorzow,2,2,D,1.81,3.57,4.91,1.95,3.7,4.91,1.81,3.4,4.45,,,,,,
Poland,Ekstraklasa,2023/2024,18/08/2023,17:00,Zaglebie,Puszcza,1,0,H,1.72,3.92,5.01,1.76,3.96,5.04,1.69,3.69,4.79,,,,,,
Poland,Ekstraklasa,2023/2024,18/08/2023,19:30,Gornik Zabrze,Widzew Lodz,1,1,D,2.12,3.48,3.62,2.2,3.52,3.62,2.1,3.34,3.37,,,,,,
Poland,Ekstraklasa,2023/2024,19/08/2023,14:00,Radomiak Radom,Warta Poznan,3,2,H,2.0,3.36,4.23,2.05,3.45,4.3,1.95,3.25,3.95,,,,,,
Poland,Ekstraklasa,2023/2024,19/08/2023,16:30,Rakow,Stal Mielec,2,0,H,1.36,5.32,8.51,1.42,5.32,8.8,1.36,4.75,7.8,,,,,,
Poland,Ekstraklasa,2023/2024,19/08/2023,19:00,Ruch Chorzow,Jagiellonia,0,1,A,2.55,3.31,2.94,2.65,3.5,2.96,2.47,3.26,2.77,,,,,,
Poland,Ekstraklasa,2023/2024,20/08/2023,14:00,LKS Lodz,Pogon Szczecin,1,0,H,3.17,3.95,2.15,3.35,3.95,2.18,3.15,3.64,2.08,,,,,,
Poland,Ekstraklasa,2023/2024,20/08/2023,16:30,Slask Wroclaw,Lech Poznan,3,1,H,4.26,3.67,1.89,4.4,3.74,1.92,4.06,3.55,1.84,,,,,,
Poland,Ekstraklasa,2023/2024,20/08/2023,19:00,Legia,Korona Kielce,1,0,H,1.39,5.1,8.18,1.41,5.3,8.7,1.37,4.83,7.46,,,,,,
Poland,Ekstraklasa,2023/2024,21/08/2023,18:00,Cracovia,Piast Gliwice,1,1,D,3.42,3.1,2.39,3.5,3.17,2.39,3.27,3.03,2.28,,,,,,
Poland,Ekstraklasa,2023/2024,25/08/2023,17:00,Stal Mielec,Radomiak Radom,2,0,H,3.92,3.55,2.03,4.2,3.58,2.05,3.77,3.39,1.96,,,,,,
Poland,Ekstraklasa,2023/2024,25/08/2023,19:30,Widzew Lodz,Slask Wroclaw,0,2,A,2.26,3.47,3.31,2.26,3.53,3.51,2.15,3.33,3.26,,,,,,
Poland,Ekstraklasa,2023/2024,26/08/2023,14:00,Warta Poznan,Cracovia,0,0,D,2.31,3.15,3.54,2.32,3.3,3.71,2.25,3.08,3.3,,,,,,
Poland,Ekstraklasa,2023/2024,26/08/2023,16:30,Puszcza,LKS Lodz,2,1,H,2.73,3.26,2.78,2.81,3.53,2.8,2.64,3.21,2.63,,,,,,
Poland,Ekstraklasa,2023/2024,26/08/2023,19:00,Piast Gliwice,Ruch Chorzow,0,0,D,1.52,4.16,7.79,1.55,4.16,8.0,1.48,3.91,7.18,,,,,,
Poland,Ekstraklasa,2023/2024,27/08/2023,14:00,Korona Kielce,Zaglebie,2,0,H,2.63,3.33,2.84,2.68,3.38,2.85,2.55,3.21,2.72,,,,,,
Poland,Ekstraklasa,2023/2024,27/08/2023,16:30,Jagiellonia,Gornik Zabrze,4,1,H,2.1,3.51,3.66,2.15,3.55,3.75,2.07,3.33,3.47,,,,,,
Poland,Ekstraklasa,2023/2024,30/08/2023,17:30,Pogon Szczecin,Slask Wroclaw,0,2,A,1.75,3.99,4.62,1.79,4.1,4.62,1.72,3.84,4.37,,,,,,
Poland,Ekstraklasa,2023/2024,01/09/2023,17:00,LKS Lodz,Warta Poznan,0,2,A,2.65,3.17,2.93,2.71,3.25,2.93,2.56,3.08,2.8,,,,,,
Poland,Ekstraklasa,2023/2024,01/09/2023,19:30,Ruch Chorzow,Stal Mielec,1,1,D,2.07,3.46,3.81,2.14,3.47,3.9,2.04,3.3,3.59,,,,,,
Poland,Ekstraklasa,2023/2024,02/09/2023,14:00,Radomiak Radom,Piast Gliwice,1,1,D,2.74,3.05,2.94,2.88,3.13,2.94,2.74,2.99,2.7,,,,,,
Poland,Ekstraklasa,2023/2024,02/09/2023,16:30,Cracovia,Korona Kielce,0,0,D,1.99,3.37,4.24,2.01,3.54,4.3,1.92,3.36,3.92,,,,,,
Poland,Ekstraklasa,2023/2024,02/09/2023,19:00,Lech Poznan,Gornik Zabrze,1,1,D,1.33,5.42,9.65,1.35,5.6,10.1,1.31,5.12,9.05,,,,,,
Poland,Ekstraklasa,2023/2024,03/09/2023,11:30,Slask Wroclaw,Jagiellonia,2,1,H,2.53,3.27,3.01,2.58,3.45,3.07,2.42,3.23,2.88,,,,,,
Poland,Ekstraklasa,2023/2024,03/09/2023,14:00,Zaglebie,Pogon Szczecin,1,0,H,2.69,3.76,2.49,2.73,3.86,2.56,2.61,3.61,2.43,,,,,,
Poland,Ekstraklasa,2023/2024,03/09/2023,16:30,Legia,Widzew Lodz,3,1,H,1.46,4.79,6.95,1.51,4.8,6.98,1.46,4.43,6.08,,,,,,
Poland,Ekstraklasa,2023/2024,03/09/2023,19:00,Rakow,Puszcza,2,0,H,1.31,5.68,10.32,1.35,5.7,10.32,1.3,5.1,9.31,,,,,,
Poland,Ekstraklasa,2023/2024,15/09/2023,17:00,Puszcza,Slask Wroclaw,1,3,A,2.91,3.21,2.65,3.02,3.28,2.72,2.78,3.13,2.56,,,,,,
Poland,Ekstraklasa,2023/2024,15/09/2023,19:30,Gornik Zabrze,Ruch Chorzow,1,0,H,2.29,3.42,3.3,2.29,3.56,3.4,2.2,3.32,3.18,,,,,,
Poland,Ekstraklasa,2023/2024,16/09/2023,14:00,Pogon Szczecin,Korona Kielce,3,1,H,1.77,4.16,4.35,1.82,4.2,4.4,1.75,3.9,4.12,,,,,,
Poland,Ekstraklasa,2023/2024,16/09/2023,16:30,Rakow,LKS Lodz,1,0,H,1.33,5.37,9.87,1.38,5.5,9.87,1.34,4.95,8.36,,,,,,
Poland,Ekstraklasa,2023/2024,16/09/2023,19:00,Piast Gliwice,Legia,1,1,D,2.32,3.35,3.29,2.38,3.45,3.38,2.24,3.24,3.15,,,,,,
Poland,Ekstraklasa,2023/2024,17/09/2023,11:30,Jagiellonia,Radomiak Radom,3,2,H,2.3,3.37,3.32,2.46,3.5,3.32,2.33,3.27,3.0,,,,,,
Poland,Ekstraklasa,2023/2024,17/09/2023,14:00,Widzew Lodz,Cracovia,2,0,H,2.74,3.34,2.71,2.8,3.45,2.75,2.63,3.27,2.59,,,,,,
Poland,Ekstraklasa,2023/2024,17/09/2023,16:30,Warta Poznan,Lech Poznan,0,2,A,5.77,3.67,1.69,6.0,3.84,1.75,5.35,3.58,1.65,,,,,,
Poland,Ekstraklasa,2023/2024,18/09/2023,18:00,Stal Mielec,Zaglebie,4,2,H,3.39,3.44,2.23,3.41,3.53,2.25,3.23,3.35,2.16,,,,,,
Poland,Ekstraklasa,2023/2024,22/09/2023,17:00,Korona Kielce,Widzew Lodz,1,1,D,2.43,3.38,3.07,2.43,3.49,3.23,2.32,3.28,2.99,,,,,,
Poland,Ekstraklasa,2023/2024,22/09/2023,19:30,LKS Lodz,Jagiellonia,2,2,D,2.79,3.3,2.7,2.87,3.38,2.7,2.69,3.23,2.57,,,,,,
Poland,Ekstraklasa,2023/2024,23/09/2023,11:30,Radomiak Radom,Puszcza,1,1,D,1.6,4.19,5.72,1.62,4.3,5.9,1.58,3.94,5.48,,,,,,
Poland,Ekstraklasa,2023/2024,23/09/2023,14:00,Slask Wroclaw,Piast Gliwice,1,0,H,4.04,3.12,2.15,4.04,3.25,2.21,3.7,3.08,2.1,,,,,,
Poland,Ekstraklasa,2023/2024,23/09/2023,16:30,Cracovia,Pogon Szczecin,1,5,A,2.76,3.4,2.66,2.79,3.45,2.72,2.64,3.28,2.57,,,,,,
Poland,Ekstraklasa,2023/2024,23/09/2023,19:00,Lech Poznan,Stal Mielec,2,1,H,1.35,5.32,8.99,1.36,5.75,12.0,1.32,5.05,8.88,,,,,,
Poland,Ekstraklasa,2023/2024,24/09/2023,11:30,Zaglebie,Warta Poznan,1,0,H,2.05,3.4,3.98,2.12,3.47,4.0,2.01,3.29,3.72,,,,,,
Poland,Ekstraklasa,2023/2024,24/09/2023,14:00,Ruch Chorzow,Rakow,3,5,A,4.08,3.63,1.94,4.38,3.73,2.01,3.91,3.51,1.9,,,,,,
Poland,Ekstraklasa,2023/2024,24/09/2023,16:30,Legia,Gornik Zabrze,2,1,H,1.52,4.41,6.37,1.54,4.76,7.04,1.49,4.24,6.11,,,,,,
Poland,Ekstraklasa,2023/2024,27/09/2023,19:00,Pogon Szczecin,Legia,3,4,A,2.41,3.75,2.84,2.64,3.81,3.05,2.39,3.51,2.73,,,,,,
Poland,Ekstraklasa,2023/2024,28/09/2023,19:00,Lech Poznan,Rakow,4,1,H,2.12,3.38,3.74,2.22,3.45,3.78,2.1,3.3,3.47,,,,,,
Poland,Ekstraklasa,2023/2024,29/09/2023,17:00,Stal Mielec,Korona Kielce,2,3,A,2.74,3.29,2.75,2.8,3.39,2.76,2.64,3.24,2.61,,,,,,
Poland,Ekstraklasa,2023/2024,29/09/2023,19:30,Piast Gliwice,Widzew Lodz,3,2,H,1.58,3.99,6.41,1.62,4.0,6.5,1.56,3.79,5.97,,,,,,
Poland,Ekstraklasa,2023/2024,30/09/2023,14:00,LKS Lodz,Cracovia,0,2,A,2.65,3.16,2.95,2.83,3.25,3.05,2.53,3.12,2.83,,,,,,
Poland,Ekstraklasa,2023/2024,30/09/2023,16:30,Puszcza,Ruch Chorzow,2,2,D,2.64,3.27,2.87,2.65,3.3,2.95,2.52,3.19,2.77,,,,,,
Poland,Ekstraklasa,2023/2024,30/09/2023,19:00,Warta Poznan,Slask Wroclaw,0,1,A,2.43,2.98,3.5,2.55,3.17,3.55,2.4,2.94,3.21,,,,,,
Poland,Ekstraklasa,2023/2024,01/10/2023,14:00,Rakow,Radomiak Radom,3,0,H,1.56,4.3,6.07,1.6,4.4,6.07,1.55,4.06,5.53,,,,,,
Poland,Ekstraklasa,2023/2024,01/10/2023,16:30,Pogon Szczecin,Lech Poznan,5,0,H,2.78,3.56,2.55,2.95,3.65,2.57,2.69,3.5,2.43,,,,,,
Poland,Ekstraklasa,2023/2024,01/10/2023,19:00,Jagiellonia,Legia,2,0,H,2.82,3.46,2.57,3.34,3.6,2.66,2.78,3.38,2.42,,,,,,
Poland,Ekstraklasa,2023/2024,02/10/2023,18:00,Gornik Zabrze,Zaglebie,0,2,A,2.67,3.37,2.77,2.67,3.5,2.84,2.54,3.33,2.66,,,,,,
Poland,Ekstraklasa,2023/2024,06/10/2023,17:00,Korona Kielce,Warta Poznan,1,1,D,2.52,2.96,3.35,2.6,3.23,3.35,2.47,2.91,3.11,,,,,,
Poland,Ekstraklasa,2023/2024,06/10/2023,19:40,Lech Poznan,Puszcza,4,1,H,1.28,5.83,11.53,1.35,6.0,11.53,1.28,5.34,9.92,,,,,,
